product,review_title,review_rating,review_text
Men's Lightweight Waterproof Hooded Rain Jacket Outdoor Raincoat Shell Jacket for Hiking Travel,"Excellent price, actually waterproof, lightweight, functional and comfy.",5,"Your browser does not support HTML5 video.


   Great coat. Lightweight and actually waterproof. Water lands on it, but the coat does not get wet. Zero soak. I love it. It has taken me years to find a waterproof coat in my price range. I’m a preschool teacher, so I can’t affoard gortex. But this was like $20? And I can take it to work every day, and if the weather decides to rain and I have to take the kids outside, it really makes it so much more bearable.  Love it."
Men's Lightweight Waterproof Hooded Rain Jacket Outdoor Raincoat Shell Jacket for Hiking Travel,Actually pretty good.,5,"I ordered an XL thinking that it would run small, but it’s actually a little roomy on me. The waterproofing seems very well done. Ample pocket space for whatever dumb things I feel like carrying.Addendum: I wore it fishing, wading in the rain, and I stayed plenty dry and warm with this on."
Men's Lightweight Waterproof Hooded Rain Jacket Outdoor Raincoat Shell Jacket for Hiking Travel,NOT WATERPROOF,1,"I wanted to like this jacket, I'm tall and have long arms, usually things are too short for me in the sleeves but this fit great, little short on the tail end for a raincoat but it was acceptable.Love the color, it's actually neon or fluorescent green as opposed to yellow which is typically mislabeled but this is actually green.It is not however, waterproof.  I thought the weak link was going to be in the way the hood zips off the jacket, which is in fact one area of leakage I believe, however, if you look at the photos you'll see it also seems to leak where the seams are around the shoulder blades as well.I was out in pouring rain for about 8-10 minutes, it's less than two months old, I'm sad it doesn't work, looks really cool  but not waterproof I'm afraid."
Men's Lightweight Waterproof Hooded Rain Jacket Outdoor Raincoat Shell Jacket for Hiking Travel,Good Jacket to wear over warm clothes,5,"A great rain coat for the price. Beware, however... As the description states this is a ""shell"" type of jacket. The lining inside this jacket is not intended for warmth but to keep the rain from soaking through. And let me tell you...it DOES a great job of doing that! I bought this in an XL to wear over a sweatshirt, and it does that perfectly!"
Men's Lightweight Waterproof Hooded Rain Jacket Outdoor Raincoat Shell Jacket for Hiking Travel,Poor cuff closure design.,3,I'm 5'9 165lbs and I ordered a medium. It fits me well. I wear it while I power wash on cooler days and have stayed dry so far after a few uses. What drives me crazy is the sleeve closure design. I have an average or greater than average sized wrist and the placement of the Velcro is very poorly designed. See attached photo. I'm going to ask my wife if she can fix the issue so I don't have to go through the troubles of returning the jacket. If they could just either add more Velcro or move the current piece I would've given 5 stars for the price I  paid. The jacket allows room for layering and plenty of room in the sleeves.
Men's Lightweight Waterproof Hooded Rain Jacket Outdoor Raincoat Shell Jacket for Hiking Travel,Nice lightweight jacket,5,"Seems like a decent lightweight jacket. Wouldn't keep you warm but light enough that you could bundle layers of clothing underneath if needed. My son liked it, not sure how waterproof it really is.I wanted to replicate a typical Florida rain storm so I pushed my son in the pool wearing it and his clothes were soaked when he climbed out"
Men's Lightweight Waterproof Hooded Rain Jacket Outdoor Raincoat Shell Jacket for Hiking Travel,Twice As Good,5,"I purchased one of these in dark grey, liked it so much that I bought another one, this time the black camo.While the sleeves are ridiculously long, better that than too short, and they can be tightened to preference with the velcro strips at each wrist.I usually wear a Large, but ordered the Medium and am glad I did.  It's a little tight across the midsection (my diet?) but other than that the Large would have been too bulky and even longer in the sleeves.I really like the quality of construction and the attention to the little things that make this jacket work for me.One of those things are the deep, zippered, side pockets.  When I insert my man-sized hands into them, they easily cover well above my wrists.  The interior breast pocket is also zippered, and large enough for the few things (like masks) that I use them for.The entire interior of the jacket is lined and breaths very nicely.  The jacket is light, the hood removes easily, and it can be zippered all the way up under the chin, or loosely closed with several well-placed velcro strips down the front of the jacket.I can attest to the jacket being wind-resistant, but haven't really given it a downpour to test it's waterproofing or lack thereof.  I wanted something light, comfortable, durable, and warm with the right layering and this jacket hit all of those marks.It's also a little longer overall, which is good thing for backside coverage.If these are really waterproof, I will be totally pleased.  No matter what, I'm satisfied."
Men's Lightweight Waterproof Hooded Rain Jacket Outdoor Raincoat Shell Jacket for Hiking Travel,Great Rain Jacket (5 Stars) - Weird Wrist Strap (-1 Star),4,"X-Large clothing can be tight or loose on me, so I chose to get the X-Large size jacket. It has a little more room than normal and the sleeves are a little on the long side (I have short arms). So, true to size is correct.The only issue that I have found, so far, is the weird wrist strap. The weird velcro strip and the anchor strip location is not good for a normal size wrist. If your wrists are as wide as your bicep, then there is no problem. Somebody else also mentioned the weird wrist straps, so it seems to be a production thing. Fix that weird design and it gets 5 stars."
Men's Lightweight Waterproof Hooded Rain Jacket Outdoor Raincoat Shell Jacket for Hiking Travel,Just What the Doctor Ordered 5,5,This was perfect to block the wind as I rode downhill along side of a mountain.
Men's Lightweight Waterproof Hooded Rain Jacket Outdoor Raincoat Shell Jacket for Hiking Travel,Very Good Jacket for Coaches on Rainy and Windy Days,5,"This jacket blocks rain and/or wind very well. Half the battle of staying warm is to have the wind blocked and to not get drenched by rain. This jacket does very well in allowing you to stay warm.There are a number of zippered pockets that are helpful if you like to keep certain items grouped together, or keep certain items separated.The hood is a nice feature - it is not some kind of magical hood, but it is waterproof.  Don't go thinking that the hood eliminates water or wind problems for the head. The hood is not adjustable, and does not have any kind of adjustment means to keep it snug around your head.  So if you are required to be facing into the wind because you are watching a game, the hood will come right off your head like a kite.The jacket does not breathe. Heat or water vapor does not magically vent through wonderful microscopic holes. You can get hot in the jacket if you wear it for too long. So you will need to periodically use a low tech solution - unzip the jacket and flap it a few times to release the heat, and then rezip the jacket. Yes, you did pay $35 for the jacket, and no, you did not pay an extra $200 for the magic fabric that invisibly vents heat and water vapor.If you can't adjust the wrist cuff diameter, the cuff flaps around and lets the cold air shoot up the inside of the jacket, from the wrist all the way up the sleeve. So most people will end up sticking their hands in the jacket pockets, but not realize that this is because their cuff is scooping cold wet air up the arm, and this is because their wrist cuffs are not adjustable. LOL! Anyway, there is an absolutely cheap a** adjustment strap at wrist cuff so you can tighten the cuff at the wrist.  It is a horribly cheap, and cheap looking, yet awesome feature."
